Time,X(CH1),
Second,Volt,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,1.36000e-02,
1.4802361e-01,1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-1.20000e-02,
1.4802361e-01,1.04000e-02,
1.4802361e-01,3.52000e-02,
1.4802361e-01,1.68000e-02,
1.4802361e-01,2.00000e-02,
1.4802361e-01,-1.04000e-02,
1.4802361e-01,-1.36000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-7.20000e-03,
1.4802361e-01,3.36000e-02,
1.4802361e-01,2.16000e-02,
1.4802361e-01,1.60000e-02,
1.4802361e-01,1.20000e-02,
1.4802361e-01,-1.68000e-02,
1.4802361e-01,1.60000e-03,
1.4802361e-01,-1.20000e-02,
1.4802361e-01,8.80001e-03,
1.4802361e-01,3.36000e-02,
1.4802361e-01,1.60000e-02,
1.4802361e-01,2.08000e-02,
1.4802361e-01,-1.04000e-02,
1.4802361e-01,-1.36000e-02,
1.4802361e-01,-3.19999e-03,
1.4802361e-01,-7.20000e-03,
1.4802361e-01,3.44000e-02,
1.4802361e-01,2.08000e-02,
1.4802361e-01,1.60000e-02,
1.4802361e-01,1.04000e-02,
1.4802361e-01,-1.84000e-02,
1.4802361e-01,7.45058e-09,
1.4802361e-01,-1.12000e-02,
1.4802361e-01,1.20000e-02,
1.4802361e-01,3.44000e-02,
1.4802361e-01,1.44000e-02,
1.4802361e-01,2.00000e-02,
1.4802361e-01,-9.60000e-03,
1.4802361e-01,-1.04000e-02,
1.4802361e-01,-2.40000e-03,
1.4802361e-01,-1.04000e-02,
1.4802361e-01,3.12000e-02,
1.4802361e-01,2.32000e-02,
1.4802361e-01,2.00000e-02,
1.4802361e-01,1.04000e-02,
1.4802361e-01,-2.00000e-02,
1.4802361e-01,-1.60000e-03,
1.4802361e-01,-1.28000e-02,
1.4802361e-01,1.52000e-02,
